A grande vantagem desse hotel é ser perto do aeroporto. Há uma estação de metrô relativamente perto também. As fotos divulgadas não condizem tanto com a realidade do local, mas ainda assim valeu a estadia. Bom para ficar um período curto.;estabelecimento;hotel;;1
A grande vantagem desse hotel é ser perto do aeroporto. Há uma estação de metrô relativamente perto também. As fotos divulgadas não condizem tanto com a realidade do local, mas ainda assim valeu a estadia. Bom para ficar um período curto.;pontos de interesse;aeroporto;;0
horel em reforma. quarto razoável ma so preco nao condis com o serviço prestado. nao fui avisado sobre taxa de garagem. 15 reais para guardar o carro. cafe da manha razoavel.ar condicionado miito barulhento;serviço;;;0
horel em reforma. quarto razoável ma so preco nao condis com o serviço prestado. nao fui avisado sobre taxa de garagem. 15 reais para guardar o carro. cafe da manha razoavel.ar condicionado miito barulhento;quarto;;;1
horel em reforma. quarto razoável ma so preco nao condis com o serviço prestado. nao fui avisado sobre taxa de garagem. 15 reais para guardar o carro. cafe da manha razoavel.ar condicionado miito barulhento;instalações;instalação externa;garagem;0
Ótimo acesso, elevador, garagem, café da manhã regular, mas o salão de refeições é bem grande... quartos com um bom tamanho, recepcionistas muito ágeis. Fica ao lado do tremsurb, o que dá fácil acesso à rodoviária e ao aeroporto.;refeição;café da manhã;;1
Ótimo acesso, elevador, garagem, café da manhã regular, mas o salão de refeições é bem grande... quartos com um bom tamanho, recepcionistas muito ágeis. Fica ao lado do tremsurb, o que dá fácil acesso à rodoviária e ao aeroporto.;instalações;instalação interna;elevador;1
Ótimo acesso, elevador, garagem, café da manhã regular, mas o salão de refeições é bem grande... quartos com um bom tamanho, recepcionistas muito ágeis. Fica ao lado do tremsurb, o que dá fácil acesso à rodoviária e ao aeroporto.;pontos de interesse;aeroporto;;0
Ótimo acesso, elevador, garagem, café da manhã regular, mas o salão de refeições é bem grande... quartos com um bom tamanho, recepcionistas muito ágeis. Fica ao lado do tremsurb, o que dá fácil acesso à rodoviária e ao aeroporto.;quarto;;;1
Ótimo acesso, elevador, garagem, café da manhã regular, mas o salão de refeições é bem grande... quartos com um bom tamanho, recepcionistas muito ágeis. Fica ao lado do tremsurb, o que dá fácil acesso à rodoviária e ao aeroporto.;instalações;instalação externa;garagem;1
Ótimo acesso, elevador, garagem, café da manhã regular, mas o salão de refeições é bem grande... quartos com um bom tamanho, recepcionistas muito ágeis. Fica ao lado do tremsurb, o que dá fácil acesso à rodoviária e ao aeroporto.;pontos de interesse;rodoviária;;0
Hotel com boa localização, próximo ao aeroporto.Cômodos simples mas em ordem e limpos. Ar-condicionado muito barulhento e atendimento da recepção muito atrapalhado.Servem um bom jantar, simples mas com qualidade e variedade compatível ao preço.;localização;;;1
