A grande vantagem desse hotel é ser perto do aeroporto. Há uma estação de metrô relativamente perto também. As fotos divulgadas não condizem tanto com a realidade do local, mas ainda assim valeu a estadia. Bom para ficar um período curto.;localização;;;1
Ótimo acesso, elevador, garagem, café da manhã regular, mas o salão de refeições é bem grande... quartos com um bom tamanho, recepcionistas muito ágeis. Fica ao lado do tremsurb, o que dá fácil acesso à rodoviária e ao aeroporto.;localização;;;1
Ótimo acesso, elevador, garagem, café da manhã regular, mas o salão de refeições é bem grande... quartos com um bom tamanho, recepcionistas muito ágeis. Fica ao lado do tremsurb, o que dá fácil acesso à rodoviária e ao aeroporto.;funcionários;funcionário da recepção;;1
Hotel com boa localização, próximo ao aeroporto.Cômodos simples mas em ordem e limpos. Ar-condicionado muito barulhento e atendimento da recepção muito atrapalhado.Servem um bom jantar, simples mas com qualidade e variedade compatível ao preço.;quarto;;;1
Hotel com boa localização, próximo ao aeroporto.Cômodos simples mas em ordem e limpos. Ar-condicionado muito barulhento e atendimento da recepção muito atrapalhado.Servem um bom jantar, simples mas com qualidade e variedade compatível ao preço.;limpeza;;;1
Hotel com boa localização, próximo ao aeroporto.Cômodos simples mas em ordem e limpos. Ar-condicionado muito barulhento e atendimento da recepção muito atrapalhado.Servem um bom jantar, simples mas com qualidade e variedade compatível ao preço.;qualidade do sono;;;-1
Próximo do aeroporto mas com instalações precárias.Não tem elevador, você terá que subir com suas malas pela escada e sem ajuda de nenhum funcionário.Não gostei do quarto, bastante barulhento.Não gostei do banheiro, com porta sanfonada de pvc...tudo apertado e feio.O café da manhã é razoável, pelo preço...Apesar de barato, não pretendo me hospedar mais...Na minha opinião, vale pagar uns reais mais caro e ficar num local com mais qualidade.;localização;;;1
Próximo do aeroporto mas com instalações precárias.Não tem elevador, você terá que subir com suas malas pela escada e sem ajuda de nenhum funcionário.Não gostei do quarto, bastante barulhento.Não gostei do banheiro, com porta sanfonada de pvc...tudo apertado e feio.O café da manhã é razoável, pelo preço...Apesar de barato, não pretendo me hospedar mais...Na minha opinião, vale pagar uns reais mais caro e ficar num local com mais qualidade.;instalações;instalação do banheiro;;-1
Próximo do aeroporto mas com instalações precárias.Não tem elevador, você terá que subir com suas malas pela escada e sem ajuda de nenhum funcionário.Não gostei do quarto, bastante barulhento.Não gostei do banheiro, com porta sanfonada de pvc...tudo apertado e feio.O café da manhã é razoável, pelo preço...Apesar de barato, não pretendo me hospedar mais...Na minha opinião, vale pagar uns reais mais caro e ficar num local com mais qualidade.;qualidade do sono;;;-1
Apesar de simples o hotel é limpo, perto do aeroporto, perto das indústrias, bom café da manhã, boa janta, ar condicionado e Wi-Fi incluso na diária. Ideal para quem procura um lugar simples, com bons acessos e perto de canoas.;localização;;;1
